disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Neoplastic disease,Diffuse Large B-Cell Lymphoma,Phase 4,NUMBER OF PARTICIPANTS THAT RECEIVED YESCARTA,1,1,100.0000,14
Neoplastic disease,Diffuse Large B-Cell Lymphoma,Phase 4,PARTICIPANTS THAT REQUIRED HOSPITALIZATION,1,1,100.0000,15
Neoplastic disease,Diffuse Large B-Cell Lymphoma,Phase 4,PARTICIPANTS WITH IMMUNE EFFECTOR CELL-ASSOCIATED NEUROTOXICITY SYNDROME EVENTS,1,1,100.0000,16
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED GEOMETRIC MEAN AUC (0-12) OF APIXABAN,1,4,25.0000,20
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED GEOMETRIC MEAN AUC (0-24),1,4,25.0000,21
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED MEAN CHANGE IN COAGULATION PARAMETERS,1,4,25.0000,22
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED MEAN CHANGE IN COAGULATION PARAMETERS PT AND APTT,1,4,25.0000,23
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED MEAN CHANGE IN ENDOGENOUS THROMBIN POTENTIAL,1,4,25.0000,24
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED MEAN CHANGE IN INR,1,4,25.0000,25
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 1,ADJUSTED MEAN CHANGE IN PLASMA ANTI-XA ACTIVITY,1,4,25.0000,26
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,180 DAY FOLLOW-UP GLASGOW OUTCOME SCALE SCORE,1,7,14.2857,12
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,180 DAY FOLLOW-UP MRS SCORE,1,7,14.2857,13
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,30-DAY MORTALITY,1,7,14.2857,14
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,60-DAY SURVIVAL,1,7,14.2857,16
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,90 DAY FOLLOW-UP GLASGOW OUTCOME SCALE SCORE,1,7,14.2857,17
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,90 DAY FOLLOW-UP MRS SCORE,1,7,14.2857,18
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 2,90-DAY MORTALITY,1,7,14.2857,19
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,GEOMETRIC MEAN TITERS,11,34,32.3529,1
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,SEROPROTECTION RATE,9,34,26.4706,0
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,SOLICITED INJECTION SITE AND SYSTEMIC REACTIONS,7,34,20.5882,2
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,ANTIBODY TITER,5,34,14.7059,3
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,GEOMETRIC MEAN TITERS OF ANTIBODIES,5,34,14.7059,4
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,SEROCONVERSION RATE,4,34,11.7647,5
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 3,NUMBER OF PARTICIPANTS REPORTING INJECTION SITE OR SYSTEMIC REACTIONS,3,34,8.8235,7
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,BOOSTER RESPONSE RATE,3,21,14.2857,6
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,3,21,14.2857,8
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,SEROPROTECTION RATE,3,21,14.2857,0
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,NUMBER OF PARTICIPANTS REPORTING UNEXPECTED ADVERSE EVENTS,2,21,9.5238,9
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,NUMBER OF SEROPOSITIVE SUBJECTS,2,21,9.5238,10
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2,21,9.5238,11
Disorder of haemostatic system,Disseminated Intravascular Coagulation,Phase 4,4-FOLD RISE IN ANTIBODY CONCENTRATIONS,1,21,4.7619,15
Situation with explicit context,Drug-Drug Interaction,Phase 1,MAXIMUM PLASMA CONCENTRATION,45,74,60.8108,0
Situation with explicit context,Drug-Drug Interaction,Phase 1,AUC FROM 0 TO INFINITY,29,74,39.1892,1
Situation with explicit context,Drug-Drug Interaction,Phase 1,TIME TO MAXIMUM CONCENTRATION,24,74,32.4324,2
Situation with explicit context,Drug-Drug Interaction,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,12,74,16.2162,3
Situation with explicit context,Drug-Drug Interaction,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,11,74,14.8649,4
Situation with explicit context,Drug-Drug Interaction,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,74,9.4595,5
Situation with explicit context,Drug-Drug Interaction,Phase 1,VOLUME OF DISTRIBUTION,6,74,8.1081,6
Situation with explicit context,Drug-Drug Interaction,Phase 2,TIME TO MAXIMUM CONCENTRATION,2,11,18.1818,2
Situation with explicit context,Drug-Drug Interaction,Phase 2,24 HR SODIUM URINARY EXCRETION,1,11,9.0909,11
Situation with explicit context,Drug-Drug Interaction,Phase 2,AUC 0-24H AFTER SINGLE DOSE,1,11,9.0909,19
Situation with explicit context,Drug-Drug Interaction,Phase 2,AUC INHIBITION,1,11,9.0909,20
Situation with explicit context,Drug-Drug Interaction,Phase 2,AUC12,1,11,9.0909,21
Situation with explicit context,Drug-Drug Interaction,Phase 2,"AUC12,SS",1,11,9.0909,22
Situation with explicit context,Drug-Drug Interaction,Phase 2,"AUC12,SS OF N-OXIDE VORICONAZOLE METABOLITE",1,11,9.0909,23
Situation with explicit context,Drug-Drug Interaction,Phase 3,APPARENT CLEARANCE (CL/F),1,4,25.0000,12
Situation with explicit context,Drug-Drug Interaction,Phase 3,APPARENT TERMINAL ELIMINATION RATE CONSTANT (ΛZ),1,4,25.0000,13
Situation with explicit context,Drug-Drug Interaction,Phase 3,AUC (0-24) OF PLASMA DPP-4 ACTIVITY,1,4,25.0000,14
Situation with explicit context,Drug-Drug Interaction,Phase 3,AUC (0-48),1,4,25.0000,15
Situation with explicit context,Drug-Drug Interaction,Phase 3,AUC (0-72),1,4,25.0000,16
Situation with explicit context,Drug-Drug Interaction,Phase 3,AUC (0-72) FOR SYR-322 METABOLITES,1,4,25.0000,17
Situation with explicit context,Drug-Drug Interaction,Phase 3,AUC (0-INF),1,4,25.0000,18
Situation with explicit context,Drug-Drug Interaction,Phase 4,MAXIMUM PLASMA CONCENTRATION,8,28,28.5714,0
Situation with explicit context,Drug-Drug Interaction,Phase 4,TIME TO MAXIMUM CONCENTRATION,6,28,21.4286,2
Situation with explicit context,Drug-Drug Interaction,Phase 4,AUC FROM 0 TO INFINITY,4,28,14.2857,1
Situation with explicit context,Drug-Drug Interaction,Phase 4,PLASMA DRUG CONCENTRATION,3,28,10.7143,7
Situation with explicit context,Drug-Drug Interaction,Phase 4,TERMINAL HALF-LIFE,3,28,10.7143,8
Situation with explicit context,Drug-Drug Interaction,Phase 4,ANTIMICROBIAL EFFICACY,2,28,7.1429,9
Situation with explicit context,Drug-Drug Interaction,Phase 4,APPARENT VOLUME OF DISTRIBUTION (VZ/F),2,28,7.1429,10
Disorder of eye,Dry Eye Disease,Phase 1,CHEMOSIS,3,7,42.8571,14
Disorder of eye,Dry Eye Disease,Phase 1,CONJUNCTIVAL HYPEREMIA,3,7,42.8571,15
Disorder of eye,Dry Eye Disease,Phase 1,EPITHELIAL DEFECTS,3,7,42.8571,16
Disorder of eye,Dry Eye Disease,Phase 1,PRESENCE OF ADVERSE EVENTS,3,7,42.8571,18
Disorder of eye,Dry Eye Disease,Phase 1,BREAKUP TIME,2,7,28.5714,19
Disorder of eye,Dry Eye Disease,Phase 1,FOREIGN BODY SENSATION,2,7,28.5714,24
Disorder of eye,Dry Eye Disease,Phase 1,GOBLET CELL DENSITY,2,7,28.5714,25
Disorder of eye,Dry Eye Disease,Phase 2,OCULAR DISCOMFORT SCORE,6,71,8.4507,2
Disorder of eye,Dry Eye Disease,Phase 2,CHANGE IN OCULAR DISCOMFORT SCORE,5,71,7.0423,1
Disorder of eye,Dry Eye Disease,Phase 2,CHANGE IN SANDE SCORE,5,71,7.0423,7
Disorder of eye,Dry Eye Disease,Phase 2,TEAR FILM BREAK-UP TIME,5,71,7.0423,8
Disorder of eye,Dry Eye Disease,Phase 2,CHANGE FROM BASELINE IN SANDE SCORE,4,71,5.6338,9
Disorder of eye,Dry Eye Disease,Phase 2,CHANGE IN CORNEAL STAINING SCORE,4,71,5.6338,10
Disorder of eye,Dry Eye Disease,Phase 2,CHANGE IN EYE DRYNESS SCORE,4,71,5.6338,0
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE IN EYE DRYNESS SCORE,7,58,12.0690,0
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE FROM BASELINE IN OSDI SCORE,5,58,8.6207,3
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE FROM BASELINE IN SCHIRMER TEST,5,58,8.6207,4
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE FROM BASELINE IN TEAR BREAK-UP TIME,5,58,8.6207,5
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE FROM BASELINE IN TEAR FILM BREAK-UP TIME,5,58,8.6207,6
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE IN LISSAMINE GREEN CONJUNCTIVAL STAINING SCORE,4,58,6.8966,11
Disorder of eye,Dry Eye Disease,Phase 3,CHANGE IN OCULAR DISCOMFORT SCORE,4,58,6.8966,1
Disorder of eye,Dry Eye Disease,Phase 4,CHANGE IN OSDI SCORE,4,42,9.5238,12
Disorder of eye,Dry Eye Disease,Phase 4,OCULAR SURFACE DISEASE INDEX SCORE,4,42,9.5238,13
Disorder of eye,Dry Eye Disease,Phase 4,INTRAOCULAR PRESSURE,3,42,7.1429,17
Disorder of eye,Dry Eye Disease,Phase 4,CHANGE FROM BASELINE IN CONJUNCTIVAL STAINING,2,42,4.7619,20
Disorder of eye,Dry Eye Disease,Phase 4,CHANGE FROM BASELINE IN CORNEAL STAINING,2,42,4.7619,21
Disorder of eye,Dry Eye Disease,Phase 4,CHANGE FROM BASELINE IN GLOBAL OCULAR STAINING SCORE,2,42,4.7619,22
Disorder of eye,Dry Eye Disease,Phase 4,CHANGE FROM BASELINE IN INTERBLINK INTERVAL,2,42,4.7619,23
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,MAXIMUM PLASMA CONCENTRATION,5,12,41.6667,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,12,33.3333,8
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3,12,25.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,TIME TO MAXIMUM CONCENTRATION,3,12,25.0000,11
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,AUC FROM 0 TO INFINITY,2,12,16.6667,13
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2,12,16.6667,14
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,ELIMINATION HALF-LIFE,2,12,16.6667,15
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,CHANGE IN 6-MINUTE WALK DISTANCE,15,56,26.7857,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,14,56,25.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,6,56,10.7143,4
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,PLASMA DRUG CONCENTRATION,6,56,10.7143,5
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,MAXIMUM PLASMA CONCENTRATION,5,56,8.9286,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,4,56,7.1429,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,CHANGE IN HEART RATE,4,56,7.1429,7
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,CHANGE IN 6-MINUTE WALK DISTANCE,6,25,24.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,CHANGE FROM BASELINE IN NSAA TOTAL SCORE,5,25,20.0000,6
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,3,25,12.0000,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,CHANGE FROM BASELINE IN TIME TO DESCEND 4 STAIRS,3,25,12.0000,9
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3,25,12.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,PERCENT REDUCTION IN CONTRACTURE,3,25,12.0000,10
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,TIME TO REACH CLINICAL SUCCESS,3,25,12.0000,12
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN FVC (%-PREDICTED),1,5,20.0000,16
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,1,5,20.0000,17
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN MAXIMAL EXPIRATORY PRESSURES,1,5,20.0000,18
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN MAXIMAL INSUFFLATION CAPACITY,1,5,20.0000,19
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN MAXIMUM INSPIRATORY PRESSURES,1,5,20.0000,20
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN PEAK COUGH FLOW DIFFERENCE,1,5,20.0000,21
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,CHANGE IN RANGE OF MOTION,1,5,20.0000,22
Mental illness,Eating Disorders,Phase 2,CHANGE IN BEHAVIORAL INHIBITION SCORE,2,12,16.6667,7
Mental illness,Eating Disorders,Phase 2,CHANGE IN BINGE EATING SCORE,2,12,16.6667,8
Mental illness,Eating Disorders,Phase 2,CHANGE IN BODY MASS INDEX,2,12,16.6667,3
Mental illness,Eating Disorders,Phase 2,CHANGE IN BODY WEIGHT,2,12,16.6667,0
Mental illness,Eating Disorders,Phase 2,CHANGE IN FASTING PLASMA GLUCOSE,2,12,16.6667,2
Mental illness,Eating Disorders,Phase 2,CHANGE IN HAM-A SCORE,2,12,16.6667,9
Mental illness,Eating Disorders,Phase 2,CHANGE IN HEMOGLOBIN A1C,2,12,16.6667,1
Mental illness,Eating Disorders,Phase 3,CHANGE IN HEMOGLOBIN A1C,12,20,60.0000,1
Mental illness,Eating Disorders,Phase 3,CHANGE IN BODY WEIGHT,11,20,55.0000,0
Mental illness,Eating Disorders,Phase 3,CHANGE IN TOTAL CHOLESTEROL,9,20,45.0000,4
Mental illness,Eating Disorders,Phase 3,CHANGE IN FASTING PLASMA GLUCOSE,8,20,40.0000,2
Mental illness,Eating Disorders,Phase 3,CHANGE IN WAIST CIRCUMFERENCE,8,20,40.0000,5
Mental illness,Eating Disorders,Phase 3,CHANGE IN BODY MASS INDEX,7,20,35.0000,3
Mental illness,Eating Disorders,Phase 3,CHANGE IN LDL CHOLESTEROL,7,20,35.0000,6
Mental illness,Eating Disorders,Phase 4,5-HT TRANSPORTER BINDING POTENTIAL,1,5,20.0000,10
Mental illness,Eating Disorders,Phase 4,BINGE EATING DAYS,1,5,20.0000,11
Mental illness,Eating Disorders,Phase 4,CHANGE IN BODY WEIGHT,1,5,20.0000,0
Mental illness,Eating Disorders,Phase 4,CHANGE IN CHILD QUALITY OF LIFE SCORE,1,5,20.0000,12
Mental illness,Eating Disorders,Phase 4,CHANGE IN GAD-7 SCORE,1,5,20.0000,13
Mental illness,Eating Disorders,Phase 4,CHANGE IN PARENT QUALITY OF LIFE,1,5,20.0000,14
Mental illness,Eating Disorders,Phase 4,CHANGE IN PARENT STRESS,1,5,20.0000,15
Clinical finding,Edema,Phase 2,CHANGE IN VAS PAIN SCORE,2,13,15.3846,2
Clinical finding,Edema,Phase 2,AESTHETIC APPEARANCE IMPROVEMENT,1,13,7.6923,10
Clinical finding,Edema,Phase 2,AESTHETIC APPEARANCE IMPROVEMENT LIKERT SCORES,1,13,7.6923,11
Clinical finding,Edema,Phase 2,AUC FROM 0 TO INFINITY,1,13,7.6923,14
Clinical finding,Edema,Phase 2,AUC [0-24],1,13,7.6923,15
Clinical finding,Edema,Phase 2,CHANGE FROM BASELINE IN POSTOPERATIVE SKIN SENSITIVITY,1,13,7.6923,17
Clinical finding,Edema,Phase 2,CHANGE IN ARM IMPEDANCE,1,13,7.6923,19
Clinical finding,Edema,Phase 3,CHANGE IN BODY WEIGHT,3,15,20.0000,0
Clinical finding,Edema,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,3,15,20.0000,1
Clinical finding,Edema,Phase 3,NUMBER OF INVESTIGATOR-CONFIRMED ANGIOEDEMA ATTACKS,2,15,13.3333,3
Clinical finding,Edema,Phase 3,PLASMA DRUG CONCENTRATION,2,15,13.3333,4
Clinical finding,Edema,Phase 3,PLASMA KALLIKREIN ACTIVITY,2,15,13.3333,5
Clinical finding,Edema,Phase 3,ADHERENCE TO LYMPHEDEMA PREVENTION EXERCISES,1,15,6.6667,9
Clinical finding,Edema,Phase 3,AGREEMENT BETWEEN SELF-REPORT AND CIRCUMFERENTIAL MEASUREMENT,1,15,6.6667,12
Clinical finding,Edema,Phase 4,24-HOUR URINE OUTPUT,1,19,5.2632,6
Clinical finding,Edema,Phase 4,30-DAY MORTALITY,1,19,5.2632,7
Clinical finding,Edema,Phase 4,ACUTE KIDNEY INJURY,1,19,5.2632,8
Clinical finding,Edema,Phase 4,ATTEMPTS NEEDED TO SUCCESSFULLY PLACE SUBCUTANEOUS CATHETER/BUTTON,1,19,5.2632,13
Clinical finding,Edema,Phase 4,CHANGE FROM BASELINE IN HYDRATION STATUS,1,19,5.2632,16
Clinical finding,Edema,Phase 4,CHANGE FROM BASELINE OF VENOUS SERUM BICARBONATE,1,19,5.2632,18
Clinical finding,Edema,Phase 4,CHANGE IN BIOIMPEDANCE RATIO,1,19,5.2632,20
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,MAXIMUM PLASMA CONCENTRATION,11,17,64.7059,0
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,TIME TO MAXIMUM CONCENTRATION,9,17,52.9412,2
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,AUC FROM 0 TO INFINITY,8,17,47.0588,3
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,VOLUME OF DISTRIBUTION,5,17,29.4118,7
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,17,23.5294,4
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,PLASMA DRUG CONCENTRATION,4,17,23.5294,8
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 1,TIME TO MAXIMUM PLASMA CONCENTRATION,3,17,17.6471,10
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,6,35,17.1429,6
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,CHANGE IN HEMOGLOBIN,5,35,14.2857,1
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,CHANGE IN ALBUMIN,4,35,11.4286,5
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,35,8.5714,4
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,ANTI-DRUG ANTIBODIES,2,35,5.7143,11
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,CHANGE IN ALT,2,35,5.7143,19
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 2,CHANGE IN AST,2,35,5.7143,20
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE IN HEMOGLOBIN,4,28,14.2857,1
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,AUC(0-24) FOR TACROLIMUS,2,28,7.1429,13
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE FROM BASELINE OF METABOLIC CONTROL,2,28,7.1429,14
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE FROM BASELINE OF MRI BODY COMPOSITION,2,28,7.1429,15
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE FROM BASELINE OF NUTRITIONAL STATUS,2,28,7.1429,16
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE FROM BASELINE OF PRO-INSULIN LEVELS,2,28,7.1429,17
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 3,CHANGE IN ALBUMIN AND TOTAL PROTEIN,2,28,7.1429,18
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,SUSTAINED VIROLOGIC RESPONSE,3,31,9.6774,9
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,ANTIBODY DEVELOPMENT,2,31,6.4516,12
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,CHANGE IN ALBUMIN,2,31,6.4516,5
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,CHANGE IN HEMOGLOBIN A1C,2,31,6.4516,21
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,KIDNEY FUNCTION,2,31,6.4516,22
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER TREATMENT-RELATED ADVERSE EVENTS,2,31,6.4516,23
Disorder of the genitourinary system,End-Stage Renal Disease,Phase 4,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2,31,6.4516,24
Neoplastic disease,Endometrial Cancer,Phase 1,MAXIMUM TOLERATED DOSE,4,10,40.0000,7
Neoplastic disease,Endometrial Cancer,Phase 1,OBJECTIVE RESPONSE RATE,4,10,40.0000,0
Neoplastic disease,Endometrial Cancer,Phase 1,PROGRESSION-FREE SURVIVAL,4,10,40.0000,1
Neoplastic disease,Endometrial Cancer,Phase 1,OVERALL SURVIVAL,2,10,20.0000,2
Neoplastic disease,Endometrial Cancer,Phase 1,ANY GRADE TREATMENT RELATED ADVERSE EVENTS,1,10,10.0000,12
Neoplastic disease,Endometrial Cancer,Phase 1,BEST OVERALL TUMOR RESPONSE,1,10,10.0000,13
Neoplastic disease,Endometrial Cancer,Phase 1,BEST RESPONSE RATE,1,10,10.0000,14
Neoplastic disease,Endometrial Cancer,Phase 2,OBJECTIVE RESPONSE RATE,72,150,48.0000,0
Neoplastic disease,Endometrial Cancer,Phase 2,PROGRESSION-FREE SURVIVAL,65,150,43.3333,1
Neoplastic disease,Endometrial Cancer,Phase 2,OVERALL SURVIVAL,61,150,40.6667,2
Neoplastic disease,Endometrial Cancer,Phase 2,CLINICAL BENEFIT RATE,15,150,10.0000,3
Neoplastic disease,Endometrial Cancer,Phase 2,DURATION OF RESPONSE,11,150,7.3333,4
Neoplastic disease,Endometrial Cancer,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,11,150,7.3333,5
Neoplastic disease,Endometrial Cancer,Phase 2,TIME TO PROGRESSION,10,150,6.6667,6
Neoplastic disease,Endometrial Cancer,Phase 3,PROGRESSION-FREE SURVIVAL,9,22,40.9091,1
Neoplastic disease,Endometrial Cancer,Phase 3,OVERALL SURVIVAL,8,22,36.3636,2
Neoplastic disease,Endometrial Cancer,Phase 3,OBJECTIVE RESPONSE RATE,7,22,31.8182,0
Neoplastic disease,Endometrial Cancer,Phase 3,ANTI-DRUG ANTIBODIES,3,22,13.6364,8
Neoplastic disease,Endometrial Cancer,Phase 3,COMPLETE RESPONSE RATE,2,22,9.0909,9
Neoplastic disease,Endometrial Cancer,Phase 3,DISEASE-FREE SURVIVAL,2,22,9.0909,10
Neoplastic disease,Endometrial Cancer,Phase 3,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2,22,9.0909,11
Neoplastic disease,Endometrial Cancer,Phase 4,CHANGE IN NRS PAIN SCORE,1,1,100.0000,15
Neoplastic disease,Endometrial Cancer,Phase 4,CHANGE IN SF-36 SCORE,1,1,100.0000,16
Neoplastic disease,Endometrial Cancer,Phase 4,LENGTH OF HOSPITAL STAY,1,1,100.0000,17
Disorder of the genitourinary system,Endometriosis,Phase 1,AUC (0-INF) OF ALBENDAZOLE SULPHOXIDE,1,4,25.0000,15
Disorder of the genitourinary system,Endometriosis,Phase 1,AUC (0-T) OF ACTIVE METABOLITE - ALBENDAZOLE SULPHOXIDE,1,4,25.0000,16
Disorder of the genitourinary system,Endometriosis,Phase 1,AUC FROM 0 TO INFINITY,1,4,25.0000,17
Disorder of the genitourinary system,Endometriosis,Phase 1,AUC(0-T),1,4,25.0000,18
Disorder of the genitourinary system,Endometriosis,Phase 1,CHANGE IN LH PULSES,1,4,25.0000,19
Disorder of the genitourinary system,Endometriosis,Phase 1,CHANGE IN MEAN LH,1,4,25.0000,20
Disorder of the genitourinary system,Endometriosis,Phase 1,CHANGE IN MEAN LH AMPLITUDE,1,4,25.0000,21
Disorder of the genitourinary system,Endometriosis,Phase 2,CHANGE IN NRS PAIN SCORE,9,41,21.9512,0
Disorder of the genitourinary system,Endometriosis,Phase 2,CHANGE IN PAIN SCORE,7,41,17.0732,1
Disorder of the genitourinary system,Endometriosis,Phase 2,CHANGE IN DYSPAREUNIA SCORE,6,41,14.6341,3
Disorder of the genitourinary system,Endometriosis,Phase 2,CHANGE FROM BASELINE IN EHP-5 SCORE,4,41,9.7561,7
Disorder of the genitourinary system,Endometriosis,Phase 2,CHANGE IN DYSMENORRHEA SCORE,4,41,9.7561,8
Disorder of the genitourinary system,Endometriosis,Phase 2,OBJECTIVE RESPONSE RATE,4,41,9.7561,9
Disorder of the genitourinary system,Endometriosis,Phase 2,PATIENT GLOBAL IMPRESSION OF CHANGE,4,41,9.7561,2
Disorder of the genitourinary system,Endometriosis,Phase 3,PAIN RESPONSE RATE,8,39,20.5128,4
Disorder of the genitourinary system,Endometriosis,Phase 3,PATIENT GLOBAL IMPRESSION OF CHANGE,8,39,20.5128,2
Disorder of the genitourinary system,Endometriosis,Phase 3,CHANGE IN DYSPAREUNIA SCORE,5,39,12.8205,3
Disorder of the genitourinary system,Endometriosis,Phase 3,CHANGE IN NRS PAIN SCORE,5,39,12.8205,0
Disorder of the genitourinary system,Endometriosis,Phase 3,PERCENT CHANGE IN BONE MINERAL DENSITY,5,39,12.8205,6
Disorder of the genitourinary system,Endometriosis,Phase 3,CHANGE IN HEMOGLOBIN,4,39,10.2564,5
