outcome_rank,outcome_category,outcome_normalized,trial_count,category_trial_count
371,Adverse Events/Safety,INCIDENCE OF TREATMENT EMERGENT ADVERSE EVENTS,57,57
372,Adverse Events/Safety,TOTAL OPIOID CONSUMPTION,57,37
373,Quality of Life/PRO,ACCEPTABILITY OF INTERVENTION,56,54
374,Biomarkers/Lab Values,CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,56,56
375,Vital Signs/Physical Measures,CHANGE IN INTRAOCULAR PRESSURE,56,54
376,Vital Signs/Physical Measures,CHANGES IN FORCED VITAL CAPACITY,56,42
377,Imaging Outcomes,LEFT VENTRICULAR EJECTION FRACTION,56,41
378,Vital Signs/Physical Measures,MEAN ARTERIAL PRESSURE,56,56
379,Vital Signs/Physical Measures,MEAN CHANGE IN HEART RATE,56,56
380,Immunogenicity,NUMBER OF SEROCONVERTED SUBJECTS,56,56
381,Hospitalization/Healthcare Use,PROCEDURE TIME,56,43
382,Other Clinical Endpoints,RECRUITMENT RATE,56,42
383,Pharmacokinetics,AUC0-TZ,55,55
384,Quality of Life/PRO,CHANGE IN SLEEP QUALITY SCORE,55,55
385,Adverse Events/Safety,NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,55,55
386,Microbiological/Virological,PERCENTAGE OF PARTICIPANTS WITH HCV RNA < LLOQ,55,53
387,Survival/Time-to-Event,TIME TO FIRST EXACERBATION,55,52
388,Adverse Events/Safety,TREATMENT DISCONTINUATION RATE,55,45
389,Immunogenicity,VACCINE RESPONSE RATE,55,55
390,Quality of Life/PRO,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,54,54
391,Hospitalization/Healthcare Use,DURATION OF HOSPITAL STAY,54,54
392,Survival/Time-to-Event,MEDIAN SURVIVAL TIME,54,53
393,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,54,54
394,Hospitalization/Healthcare Use,OPERATIVE TIME,54,52
395,Quality of Life/PRO,SLEEP QUALITY SCORE,54,54
396,Survival/Time-to-Event,2-YEAR SURVIVAL RATE,53,52
397,Vital Signs/Physical Measures,CHANGE IN RESPIRATORY RATE,53,53
398,Quality of Life/PRO,CHANGE IN TREATMENT SATISFACTION SCORE,53,53
399,Symptoms/Pain,CHANGE IN WOMAC STIFFNESS SCORE,53,53
400,Hospitalization/Healthcare Use,DURATION OF MECHANICAL VENTILATION,53,53
401,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,53,53
402,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,53,34
403,Symptoms/Pain,PAIN INTENSITY,53,53
404,Pharmacokinetics,AUC(0-T),52,51
405,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BODY TEMPERATURE,52,52
406,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,52,52
407,Biomarkers/Lab Values,CHANGE IN ALBUMIN AND TOTAL PROTEIN,52,52
408,Biomarkers/Lab Values,CHANGE IN INSULIN SENSITIVITY,52,52
409,Mental Health Outcomes,CHANGE IN SELF-EFFICACY SCORE,52,28
410,Symptoms/Pain,INSOMNIA SEVERITY INDEX,52,23
411,Functional Status,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,52,38
412,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,52,40
413,Response Rates,PATHOLOGIC COMPLETE RESPONSE RATE,52,52
414,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,52,52
415,Mortality,TRANSPLANT-RELATED MORTALITY,52,52
416,Vital Signs/Physical Measures,VITAL SIGNS SUMMARY,52,52
417,Survival/Time-to-Event,6-MONTH PROGRESSION-FREE SURVIVAL,51,51
418,Mental Health Outcomes,CHANGE IN DEPRESSION SCORE,51,51
419,Quality of Life/PRO,CLINICAL GLOBAL IMPRESSION OF CHANGE,51,20
420,Immunogenicity,GEOMETRIC MEAN TITER OF ANTIBODIES,51,51
421,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,51,51
422,Biomarkers/Lab Values,PERCENT CHANGE IN FASTING TRIGLYCERIDES,51,51
423,Response Rates,PERCENTAGE OF PARTICIPANTS WITH CLINICAL RESPONSE,51,49
424,Immunogenicity,SEROPOSITIVITY RATE,51,51
425,Hospitalization/Healthcare Use,VENTILATOR-FREE DAYS,51,36
426,Pharmacokinetics,APPARENT TOTAL BODY CLEARANCE,50,50
427,Biomarkers/Lab Values,CHANGE IN BNP,50,50
428,Vital Signs/Physical Measures,CHANGE IN FORCED VITAL CAPACITY,50,43
429,Mental Health Outcomes,DEPRESSION SCORE,50,50
430,Disease Activity Scores,PERCENT CHANGE IN PASI SCORE,50,50
431,Biomarkers/Lab Values,CHANGE IN BILIRUBIN AND CREATININE,49,48
432,Symptoms/Pain,CHANGE IN INSOMNIA SEVERITY INDEX SCORE,49,23
433,Functional Status,GRIP STRENGTH,49,47
434,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS EXPERIENCING TREATMENT-EMERGENT ADVERSE EVENTS,49,49
435,Biomarkers/Lab Values,CHANGE IN ALKALINE PHOSPHATASE,48,48
436,Hospitalization/Healthcare Use,LENGTH OF ICU STAY,48,48
437,Response Rates,NUMBER OF RESPONDERS,48,48
438,Immunogenicity,NUMBER OF SEROPROTECTED SUBJECTS,48,48
439,Adverse Events/Safety,NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,48,48
440,Pharmacokinetics,TIME OF MAXIMUM CONCENTRATION,48,48
441,Functional Status,TIMED UP AND GO TEST,48,48
442,Biomarkers/Lab Values,CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,47,47
443,Biomarkers/Lab Values,CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,47,47
444,Disease Activity Scores,CHANGE IN SWOLLEN JOINT COUNT,47,47
445,Response Rates,CONFIRMED RESPONSE RATE,47,47
446,Imaging Outcomes,MRI LESION COUNT,47,47
447,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,47,47
448,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,47,47
449,Mortality,28-DAY MORTALITY,46,46
450,Pharmacokinetics,APPARENT VOLUME OF DISTRIBUTION (VZ/F),46,46
451,Remission/Cure,CLINICAL CURE,46,38
452,Survival/Time-to-Event,DURATION OF COMPLETE RESPONSE,46,35
453,Biomarkers/Lab Values,MEAN CHANGE IN HEMOGLOBIN A1C,46,46
454,Symptoms/Pain,PAIN INTERFERENCE SCORE,46,40
455,Remission/Cure,PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,46,45
456,Adverse Events/Safety,RATE OF ADVERSE EVENTS,46,46
457,Mortality,TIME TO DEATH,46,39
458,Adverse Events/Safety,ANNUALIZED BLEEDING RATE,45,41
459,Functional Status,CHANGE FROM BASELINE IN BCVA,45,45
460,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BODY WEIGHT,45,45
461,Functional Status,CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,45,44
462,Response Rates,CONFIRMED OBJECTIVE RESPONSE RATE,45,45
463,Adverse Events/Safety,DRUG-RELATED ADVERSE EVENTS,45,45
464,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,45,45
465,Adverse Events/Safety,OCCURRENCE OF ADVERSE EVENTS,45,45
466,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,45,45
467,Quality of Life/PRO,SLEEP DISTURBANCE SCORE,45,43
468,Quality of Life/PRO,ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,44,43
469,Symptoms/Pain,APNEA-HYPOPNEA INDEX,44,25
470,Response Rates,EULAR RESPONSE RATE,44,44
471,Vital Signs/Physical Measures,MEAN HEART RATE,44,44
472,Response Rates,PERCENTAGE OF PARTICIPANTS WITH RELAPSE,44,27
473,Pharmacokinetics,TERMINAL PHASE ELIMINATION HALF-LIFE,44,44
474,Response Rates,TREATMENT SUCCESS,44,16
475,Functional Status,ACTIVITIES OF DAILY LIVING,43,38
476,Biomarkers/Lab Values,CHANGE IN FASTING SERUM GLUCOSE,43,42
477,Imaging Outcomes,CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,43,38
478,Disease Control,DURATION OF DISEASE CONTROL,43,42
479,Treatment Adherence,DURATION OF TREATMENT,43,29
480,Adverse Events/Safety,NUMBER OF DOSE LIMITING TOXICITIES,43,43
481,Adverse Events/Safety,NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,43,43
482,Immunogenicity,SEROCONVERSION FACTOR,43,43
483,Mental Health Outcomes,ANXIETY SCORE,42,42
484,Pharmacokinetics,AVERAGE PLASMA CONCENTRATION,42,42
485,Disease Activity Scores,CHANGE IN TENDER JOINT COUNT,42,37
486,Quality of Life/PRO,CHANGE IN WOMAC SCORE,42,19
487,Mortality,IN-HOSPITAL MORTALITY,42,42
488,Adverse Events/Safety,INCIDENCE AND SEVERITY OF ADVERSE EVENTS,42,42
489,Response Rates,NUMBER OF PARTICIPANTS ACHIEVING TARGET,42,22
490,Functional Status,PHYSICAL FUNCTION,42,26
491,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEIGHT,41,41
492,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,41,41
493,Quality of Life/PRO,CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,41,41
494,Functional Status,CHANGE IN WHO FUNCTIONAL CLASS,41,41
495,Functional Status,HARRIS HIP SCORE,41,38
496,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH COMPLICATIONS,41,41
497,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,41,41
498,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,41,41
499,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,41,41
500,Pharmacokinetics,PLASMA TROUGH CONCENTRATION,41,41
