outcome_rank,outcome_category,outcome_normalized,start_year,trial_count
80,Response Rates,ACR50 RESPONSE,2008,21
81,Immunogenicity,ANTIBODY TITER,2008,19
82,Vital Signs/Physical Measures,CHANGE IN DIASTOLIC BLOOD PRESSURE,2008,17
83,Response Rates,PASI 75 RESPONSE,2008,14
84,Pharmacokinetics,ACCUMULATION RATIO,2008,8
85,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2008,7
86,Pharmacokinetics,TERMINAL ELIMINATION HALF-LIFE,2008,5
87,Biomarkers/Lab Values,CHANGE IN CREATININE,2008,16
88,Quality of Life/PRO,CHANGE IN DLQI SCORE,2008,9
89,Response Rates,ACR70 RESPONSE,2008,19
90,Mental Health Outcomes,CHANGE IN GAD-7 SCORE,2008,1
91,Survival/Time-to-Event,MEDIAN PROGRESSION-FREE SURVIVAL,2008,18
92,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2008,7
93,Symptoms/Pain,CHANGE IN BPI SCORE,2008,16
94,Immunogenicity,NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2008,5
95,Remission/Cure,COMPLETE REMISSION,2008,12
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,2008,9
97,Quality of Life/PRO,CHANGE IN EORTC QLQ-C30 SCORE,2008,4
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2008,14
99,Biomarkers/Lab Values,CHANGE IN AST,2008,12
100,Mental Health Outcomes,CHANGE IN PANSS SCORE,2008,24
101,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2008,12
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,2008,13
103,Vital Signs/Physical Measures,SYSTOLIC BLOOD PRESSURE,2008,16
104,Treatment Adherence,PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,2008,5
105,Mental Health Outcomes,CHANGE IN MMSE SCORE,2008,13
106,Pharmacokinetics,MEAN RESIDENCE TIME,2008,10
107,Biomarkers/Lab Values,CHANGE IN PLATELET COUNT,2008,11
108,Response Rates,COMPLETE RESPONSE,2008,14
109,Dose-Finding,RECOMMENDED PHASE 2 DOSE,2008,7
110,Immunogenicity,IMMUNE RESPONSE RATE,2008,11
111,Pharmacokinetics,RENAL CLEARANCE,2008,4
112,Biomarkers/Lab Values,PERCENT CHANGE IN LDL CHOLESTEROL,2008,9
113,Treatment Adherence,COMPLIANCE RATE,2008,8
114,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2008,9
115,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN FEV1,2008,9
116,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2008,8
117,Remission/Cure,CLINICAL REMISSION,2008,7
118,Response Rates,RESPONDER RATE,2008,20
119,Quality of Life/PRO,FATIGUE,2008,6
120,Functional Status,6-MINUTE WALK DISTANCE,2008,17
121,Pharmacokinetics,MAXIMUM SERUM CONCENTRATION,2008,3
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,2008,17
123,Vital Signs/Physical Measures,DIASTOLIC BLOOD PRESSURE,2008,12
124,Adverse Events/Safety,INJECTION SITE REACTIONS,2008,6
125,Pharmacokinetics,MAXIMUM OBSERVED SERUM CONCENTRATION,2008,8
126,Symptoms/Pain,PAIN SCORE,2008,2
127,Hospitalization/Healthcare Use,HOSPITAL LENGTH OF STAY,2008,4
128,Biomarkers/Lab Values,CHANGE IN WHITE BLOOD CELL COUNT,2008,6
129,Response Rates,PASI 90 RESPONSE,2008,6
130,Symptoms/Pain,CHANGE IN WOMAC PAIN SCORE,2008,6
131,Mortality,30-DAY MORTALITY,2008,6
132,Imaging Outcomes,CHANGE IN EJECTION FRACTION,2008,17
133,Biomarkers/Lab Values,CHANGE IN ALBUMIN,2008,6
134,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2008,3
135,Vital Signs/Physical Measures,CHANGE IN TEMPERATURE,2008,2
136,Adverse Events/Safety,TOTAL ADVERSE EVENTS SUMMARY,2008,9
137,Pharmacokinetics,TIME TO MAXIMUM PLASMA CONCENTRATION,2008,3
138,Mental Health Outcomes,SUICIDAL IDEATION ASSESSMENT,2008,4
139,Mental Health Outcomes,CHANGE IN HAM-A SCORE,2008,20
140,Disease Activity Scores,CHANGE IN CDAI SCORE,2008,6
141,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BLOOD PRESSURE,2008,6
143,Mental Health Outcomes,CHANGE IN ADAS-COG SCORE,2008,13
144,Adverse Events/Safety,INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,2008,2
145,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2008,10
146,Immunogenicity,GEOMETRIC MEAN TITERS,2008,11
147,Quality of Life/PRO,CHANGE IN SGRQ SCORE,2008,5
148,Pharmacokinetics,APPARENT CLEARANCE,2008,4
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,2008,8
150,Response Rates,BEST OVERALL RESPONSE RATE,2008,12
151,Biomarkers/Lab Values,CHANGE FROM BASELINE IN HEMATOCRIT,2008,3
152,Biomarkers/Lab Values,CHANGE IN BILIRUBIN,2008,7
153,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2008,4
154,Hospitalization/Healthcare Use,HOSPITALIZATION RATE,2008,4
155,Adverse Events/Safety,NUMBER OF PATIENTS WITH ADVERSE EVENTS,2008,5
156,Mental Health Outcomes,CHANGE IN YMRS SCORE,2008,18
157,Pharmacokinetics,APPARENT TERMINAL HALF-LIFE,2008,10
158,Biomarkers/Lab Values,PERCENT CHANGE IN TOTAL CHOLESTEROL,2008,6
159,Pharmacokinetics,TROUGH PLASMA CONCENTRATION,2008,9
160,Adverse Events/Safety,NUMBER OF SERIOUS ADVERSE EVENTS,2008,4
161,Adverse Events/Safety,DOSE-LIMITING TOXICITY,2008,4
162,Immunogenicity,GEOMETRIC MEAN TITER,2008,9
163,Microbiological/Virological,VIRAL SUPPRESSION RATE,2008,8
164,Biomarkers/Lab Values,PERCENT CHANGE IN HDL CHOLESTEROL,2008,6
165,Treatment Adherence,RETENTION RATE,2008,3
166,Biomarkers/Lab Values,CHANGE IN FERRITIN,2008,3
167,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,2008,9
168,Survival/Time-to-Event,TIME TO NEXT TREATMENT,2008,6
169,Mortality,CARDIOVASCULAR MORTALITY,2008,5
170,Response Rates,EASI 75 RESPONSE,2008,1
171,Pharmacokinetics,ELIMINATION HALF-LIFE,2008,4
172,Response Rates,PARTIAL RESPONSE RATE,2008,9
173,Vital Signs/Physical Measures,CHANGE IN PULSE RATE,2008,7
174,Mental Health Outcomes,DEPRESSION RESPONSE RATE,2008,5
175,Biomarkers/Lab Values,CHANGE IN ESR,2008,7
176,Symptoms/Pain,CHANGE IN PRURITUS SCORE,2008,1
177,Survival/Time-to-Event,MEDIAN PROGRESSION FREE SURVIVAL,2008,5
178,Pharmacokinetics,TOTAL BODY CLEARANCE,2008,6
179,Pharmacokinetics,APPARENT ORAL CLEARANCE,2008,6
180,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN TROUGH FEV1,2008,3
181,Vital Signs/Physical Measures,CHANGE IN FEV1,2008,14
182,Response Rates,CLINICAL RESPONSE RATE,2008,7
183,Biomarkers/Lab Values,PERCENT CHANGE IN TRIGLYCERIDES,2008,8
184,Pharmacokinetics,VOLUME OF DISTRIBUTION AT STEADY STATE,2008,4
185,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN PULSE RATE,2008,5
186,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,2008,5
187,Biomarkers/Lab Values,CHANGE IN NT-PROBNP,2008,8
188,Disease Activity Scores,CHANGE IN UPDRS SCORE,2008,6
189,Adverse Events/Safety,NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,2008,1
190,Biomarkers/Lab Values,PERCENT CHANGE IN APOLIPOPROTEIN B,2008,6
192,Adverse Events/Safety,"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",2008,8
194,Hospitalization/Healthcare Use,TIME TO HOSPITAL DISCHARGE,2008,1
195,Vital Signs/Physical Measures,HEART RATE,2008,9
196,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN RESPIRATORY RATE,2008,1
197,Survival/Time-to-Event,RELAPSE-FREE SURVIVAL,2008,8
200,Survival/Time-to-Event,OVERALL SURVIVAL RATE,2008,5
201,Response Rates,PATHOLOGIC COMPLETE RESPONSE,2008,7
202,Quality of Life/PRO,TREATMENT SATISFACTION,2008,2
203,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2008,5
204,Biomarkers/Lab Values,MINIMAL RESIDUAL DISEASE NEGATIVITY,2008,5
205,Imaging Outcomes,CHANGE IN TUMOR SIZE,2008,7
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2008,1
207,Symptoms/Pain,VAS PAIN SCORE,2008,1
208,Quality of Life/PRO,CHANGE IN EQ-5D VAS SCORE,2008,10
209,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,2008,4
210,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,2008,9
211,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,2008,2
212,Biomarkers/Lab Values,CHANGE IN C-REACTIVE PROTEIN,2008,6
213,Mental Health Outcomes,CHANGE IN HADS SCORE,2008,2
214,Mental Health Outcomes,CHANGE FROM BASELINE IN CGI-S SCORE,2008,13
215,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,2008,4
216,Quality of Life/PRO,CHANGE IN FATIGUE SCORE,2008,5
217,Response Rates,CLINICAL RESPONSE,2008,4
218,Survival/Time-to-Event,TIME TO PSA PROGRESSION,2008,6
219,Pharmacokinetics,ELIMINATION RATE CONSTANT,2008,2
220,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,2008,4
221,Pharmacokinetics,PEAK PLASMA CONCENTRATION,2008,5
222,Symptoms/Pain,NAUSEA,2008,5
223,Biomarkers/Lab Values,CHANGE IN ABSOLUTE NEUTROPHIL COUNT,2008,7
224,Biomarkers/Lab Values,CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,2008,3
225,Biomarkers/Lab Values,CHANGE IN HEMATOCRIT,2008,4
226,Mortality,TREATMENT-RELATED MORTALITY,2008,4
227,Survival/Time-to-Event,RECURRENCE-FREE SURVIVAL,2008,6
228,Pharmacokinetics,AUCTAU,2008,4
229,Functional Status,CHANGE IN EDSS SCORE,2008,5
230,Biomarkers/Lab Values,CHANGE IN HSCRP,2008,2
231,Response Rates,TUMOR RESPONSE RATE,2008,10
232,Response Rates,PASI 50 RESPONSE,2008,11
233,Adverse Events/Safety,PROCEDURAL SUCCESS,2008,6
234,Quality of Life/PRO,CHANGE IN KCCQ SCORE,2008,2
235,Quality of Life/PRO,SLEEP EFFICIENCY,2008,6
236,Survival/Time-to-Event,TIME TO RELAPSE,2008,2
237,Pharmacokinetics,MINIMUM PLASMA CONCENTRATION,2008,5
238,Symptoms/Pain,PRURITUS SCORE,2008,5
240,Immunogenicity,SERORESPONSE RATE,2008,3
241,Mental Health Outcomes,CHANGE IN CGI-S SCORE,2008,4
242,Adverse Events/Safety,FREQUENCY OF ADVERSE EVENTS,2008,4
243,Vital Signs/Physical Measures,PERCENT CHANGE IN BODY WEIGHT,2008,6
244,Remission/Cure,DEPRESSION REMISSION RATE,2008,7
245,Disease Control,STABLE DISEASE RATE,2008,6
246,Vital Signs/Physical Measures,BODY MASS INDEX,2008,7
247,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,2008,5
248,Disease Activity Scores,CHANGE IN SDAI SCORE,2008,2
249,Symptoms/Pain,DYSPNEA SCORE,2008,6
250,Microbiological/Virological,MICROBIOLOGICAL ERADICATION,2008,7
251,Survival/Time-to-Event,TIME TO TUMOR PROGRESSION,2008,9
252,Pharmacokinetics,APPARENT CLEARANCE (CL/F),2008,3
253,Biomarkers/Lab Values,CHANGE IN FASTING INSULIN,2008,2
255,Adverse Events/Safety,ADVERSE EVENTS LEADING TO DISCONTINUATION,2008,5
256,Mortality,ALL COLLECTED DEATHS,2008,3
258,Biomarkers/Lab Values,CHANGE IN FASTING GLUCOSE,2008,3
259,Vital Signs/Physical Measures,FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),2008,9
260,Quality of Life/PRO,PARTICIPANT SATISFACTION,2008,2
261,Response Rates,PASI 100 RESPONSE,2008,3
262,Biomarkers/Lab Values,CHANGE IN INR,2008,2
263,Vital Signs/Physical Measures,INTRAOCULAR PRESSURE,2008,4
264,Biomarkers/Lab Values,CHANGE IN HOMA-IR,2008,6
265,Adverse Events/Safety,INCIDENCE OF SERIOUS ADVERSE EVENTS,2008,3
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,2008,4
267,Pharmacokinetics,PLASMA DECAY HALF-LIFE,2008,10
268,Quality of Life/PRO,TOTAL SLEEP TIME,2008,4
269,Response Rates,TUMOR RESPONSE,2008,7
270,Hospitalization/Healthcare Use,LENGTH OF STAY,2008,1
271,Pharmacokinetics,MAXIMUM OBSERVED PLASMA CONCENTRATION,2008,5
272,Mental Health Outcomes,CHANGE IN CES-D SCORE,2008,3
273,Hospitalization/Healthcare Use,DURATION OF HOSPITALIZATION,2008,7
274,Survival/Time-to-Event,DURATION OF OBJECTIVE RESPONSE,2008,5
275,Hospitalization/Healthcare Use,ICU ADMISSION RATE,2008,1
277,Vital Signs/Physical Measures,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,2008,1
278,Immunogenicity,NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,2008,1
279,Adverse Events/Safety,NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,2008,12
280,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF IMPROVEMENT,2008,8
281,Vital Signs/Physical Measures,FORCED VITAL CAPACITY,2008,6
282,Biomarkers/Lab Values,LABORATORY VALUES SUMMARY,2008,7
283,Mortality,NON-RELAPSE MORTALITY,2008,4
284,Functional Status,VISUAL ACUITY,2008,2
285,Mental Health Outcomes,CHANGE IN BDI-II SCORE,2008,8
286,Mental Health Outcomes,PERCEIVED STRESS SCORE,2008,2
287,Response Rates,TARGET LESION RESPONSE,2008,12
288,Disease Activity Scores,ANNUALIZED RELAPSE RATE,2008,4
289,Mental Health Outcomes,CHANGE IN ANXIETY SCORE,2008,1
290,Biomarkers/Lab Values,CHANGE IN PSA,2008,7
291,Response Rates,COMPLETE REMISSION RATE,2008,1
292,Remission/Cure,ENDOSCOPIC REMISSION,2008,1
293,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL RATE,2008,2
295,Disease Control,ANNUAL EXACERBATION RATE,2008,3
296,Disease Control,CLINICAL SUCCESS,2008,4
297,Remission/Cure,CURE RATE,2008,4
298,Pharmacokinetics,AUC0-LAST,2008,1
299,Functional Status,CHANGE IN VISUAL ACUITY,2008,3
300,Hospitalization/Healthcare Use,EMERGENCY ROOM VISITS,2008,2
301,Biomarkers/Lab Values,MEAN CHANGE IN HEMOGLOBIN,2008,12
302,Imaging Outcomes,PERCENT CHANGE IN BONE MINERAL DENSITY,2008,5
303,Symptoms/Pain,CHANGE IN ADHD-RS SCORE,2008,6
304,Biomarkers/Lab Values,CHANGE IN TOTAL BILIRUBIN,2008,5
305,Disease Control,DURATION OF STABLE DISEASE,2008,3
306,Mortality,MORTALITY,2008,1
307,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,2008,3
309,Mortality,PERCENTAGE OF PARTICIPANTS WHO DIED,2008,5
311,Treatment Adherence,MEDICATION ADHERENCE,2008,2
312,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2008,5
313,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2008,1
314,Disease Control,TECHNICAL SUCCESS,2008,4
315,Disease Activity Scores,CHANGE IN BASDAI SCORE,2008,2
316,Functional Status,CHANGE IN ECOG PERFORMANCE STATUS,2008,5
317,Remission/Cure,CLINICAL CURE RATE,2008,5
318,Biomarkers/Lab Values,INSULIN SENSITIVITY,2008,4
319,Treatment Adherence,NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2008,1
320,Adverse Events/Safety,TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2008,5
321,Symptoms/Pain,CHANGE IN DYSPNEA SCORE,2008,4
322,Biomarkers/Lab Values,CHANGE IN SERUM CREATININE,2008,3
323,Quality of Life/PRO,CHANGE IN SF-12 SCORE,2008,1
324,Mental Health Outcomes,CLINICIAN GLOBAL IMPRESSION,2008,3
325,Functional Status,CHANGE IN PHYSICAL ACTIVITY,2008,2
327,Other Clinical Endpoints,DEVICE SUCCESS,2008,5
328,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2008,7
329,Biomarkers/Lab Values,PERCENT CHANGE IN LDL-C,2008,1
330,Vital Signs/Physical Measures,RESPIRATORY RATE,2008,1
331,Mortality,90-DAY MORTALITY,2008,2
332,Adverse Events/Safety,"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",2008,3
333,Symptoms/Pain,AVERAGE PAIN SCORE,2008,1
334,Vital Signs/Physical Measures,MEAN CHANGE IN BLOOD PRESSURE,2008,10
335,Response Rates,PSA RESPONSE RATE,2008,6
337,Pharmacokinetics,SYSTEMIC CLEARANCE,2008,4
338,Vital Signs/Physical Measures,TROUGH FEV1,2008,8
339,Pharmacokinetics,APPARENT TERMINAL ELIMINATION HALF-LIFE,2008,1
340,Biomarkers/Lab Values,CHANGE FROM BASELINE IN ERYTHROCYTES,2008,3
341,Mortality,NUMBER OF DEATHS,2008,6
343,Quality of Life/PRO,CHANGE IN FACIT-FATIGUE SCORE,2008,2
344,Response Rates,MEDIAN DURATION OF RESPONSE,2008,2
345,Adverse Events/Safety,NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2008,3
346,Vital Signs/Physical Measures,NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,2008,2
349,Quality of Life/PRO,PITTSBURGH SLEEP QUALITY INDEX SCORE,2008,1
350,Response Rates,PROSTATE-SPECIFIC ANTIGEN RESPONSE,2008,3
351,Adverse Events/Safety,ESTIMATED BLOOD LOSS,2008,2
352,Response Rates,PERCENTAGE OF PATIENTS ACHIEVING TARGET,2008,16
353,Mental Health Outcomes,CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2008,6
355,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2008,3
356,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2008,2
357,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF SEVERITY,2008,3
358,Biomarkers/Lab Values,PERCENT CHANGE IN NON-HDL CHOLESTEROL,2008,2
359,Pharmacokinetics,AUCINF,2008,3
360,Mental Health Outcomes,BECK DEPRESSION INVENTORY SCORE,2008,3
361,Functional Status,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,2008,7
362,Functional Status,CHANGE IN BEST CORRECTED VISUAL ACUITY,2008,1
363,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,2008,4
364,Disease Activity Scores,PERCENT CHANGE IN EASI SCORE,2008,2
366,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEART RATE,2008,3
367,Vital Signs/Physical Measures,CHANGE IN BODY TEMPERATURE,2008,1
368,Mental Health Outcomes,CHANGE IN PERCEIVED STRESS SCORE,2008,2
369,Quality of Life/PRO,CLINICIAN GLOBAL IMPRESSION OF CHANGE,2008,5
370,Mental Health Outcomes,DEPRESSIVE SYMPTOMS,2008,1
372,Adverse Events/Safety,TOTAL OPIOID CONSUMPTION,2008,2
374,Biomarkers/Lab Values,CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,2008,1
375,Vital Signs/Physical Measures,CHANGE IN INTRAOCULAR PRESSURE,2008,1
376,Vital Signs/Physical Measures,CHANGES IN FORCED VITAL CAPACITY,2008,5
377,Imaging Outcomes,LEFT VENTRICULAR EJECTION FRACTION,2008,5
378,Vital Signs/Physical Measures,MEAN ARTERIAL PRESSURE,2008,1
379,Vital Signs/Physical Measures,MEAN CHANGE IN HEART RATE,2008,7
380,Immunogenicity,NUMBER OF SEROCONVERTED SUBJECTS,2008,5
381,Hospitalization/Healthcare Use,PROCEDURE TIME,2008,2
382,Other Clinical Endpoints,RECRUITMENT RATE,2008,1
383,Pharmacokinetics,AUC0-TZ,2008,2
384,Quality of Life/PRO,CHANGE IN SLEEP QUALITY SCORE,2008,1
385,Adverse Events/Safety,NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2008,11
387,Survival/Time-to-Event,TIME TO FIRST EXACERBATION,2008,3
389,Immunogenicity,VACCINE RESPONSE RATE,2008,8
390,Quality of Life/PRO,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2008,4
391,Hospitalization/Healthcare Use,DURATION OF HOSPITAL STAY,2008,2
392,Survival/Time-to-Event,MEDIAN SURVIVAL TIME,2008,2
393,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2008,2
394,Hospitalization/Healthcare Use,OPERATIVE TIME,2008,1
395,Quality of Life/PRO,SLEEP QUALITY SCORE,2008,3
396,Survival/Time-to-Event,2-YEAR SURVIVAL RATE,2008,3
398,Quality of Life/PRO,CHANGE IN TREATMENT SATISFACTION SCORE,2008,5
399,Symptoms/Pain,CHANGE IN WOMAC STIFFNESS SCORE,2008,3
400,Hospitalization/Healthcare Use,DURATION OF MECHANICAL VENTILATION,2008,3
402,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,2008,1
403,Symptoms/Pain,PAIN INTENSITY,2008,3
404,Pharmacokinetics,AUC(0-T),2008,4
406,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2008,2
407,Biomarkers/Lab Values,CHANGE IN ALBUMIN AND TOTAL PROTEIN,2008,5
408,Biomarkers/Lab Values,CHANGE IN INSULIN SENSITIVITY,2008,5
410,Symptoms/Pain,INSOMNIA SEVERITY INDEX,2008,1
411,Functional Status,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,2008,4
412,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2008,1
413,Response Rates,PATHOLOGIC COMPLETE RESPONSE RATE,2008,2
414,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,2008,4
415,Mortality,TRANSPLANT-RELATED MORTALITY,2008,1
417,Survival/Time-to-Event,6-MONTH PROGRESSION-FREE SURVIVAL,2008,5
418,Mental Health Outcomes,CHANGE IN DEPRESSION SCORE,2008,3
419,Quality of Life/PRO,CLINICAL GLOBAL IMPRESSION OF CHANGE,2008,4
420,Immunogenicity,GEOMETRIC MEAN TITER OF ANTIBODIES,2008,3
421,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2008,1
423,Response Rates,PERCENTAGE OF PARTICIPANTS WITH CLINICAL RESPONSE,2008,2
424,Immunogenicity,SEROPOSITIVITY RATE,2008,6
426,Pharmacokinetics,APPARENT TOTAL BODY CLEARANCE,2008,1
427,Biomarkers/Lab Values,CHANGE IN BNP,2008,4
428,Vital Signs/Physical Measures,CHANGE IN FORCED VITAL CAPACITY,2008,2
429,Mental Health Outcomes,DEPRESSION SCORE,2008,4
430,Disease Activity Scores,PERCENT CHANGE IN PASI SCORE,2008,2
431,Biomarkers/Lab Values,CHANGE IN BILIRUBIN AND CREATININE,2008,4
432,Symptoms/Pain,CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2008,2
433,Functional Status,GRIP STRENGTH,2008,1
437,Response Rates,NUMBER OF RESPONDERS,2008,5
438,Immunogenicity,NUMBER OF SEROPROTECTED SUBJECTS,2008,8
439,Adverse Events/Safety,NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,2008,8
440,Pharmacokinetics,TIME OF MAXIMUM CONCENTRATION,2008,2
441,Functional Status,TIMED UP AND GO TEST,2008,1
442,Biomarkers/Lab Values,CHANGE FROM BASELINE IN FASTING PLASMA GLUCOSE,2008,3
443,Biomarkers/Lab Values,CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2008,1
444,Disease Activity Scores,CHANGE IN SWOLLEN JOINT COUNT,2008,4
445,Response Rates,CONFIRMED RESPONSE RATE,2008,4
446,Imaging Outcomes,MRI LESION COUNT,2008,4
447,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2008,3
448,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,2008,2
449,Mortality,28-DAY MORTALITY,2008,1
450,Pharmacokinetics,APPARENT VOLUME OF DISTRIBUTION (VZ/F),2008,1
451,Remission/Cure,CLINICAL CURE,2008,4
452,Survival/Time-to-Event,DURATION OF COMPLETE RESPONSE,2008,1
453,Biomarkers/Lab Values,MEAN CHANGE IN HEMOGLOBIN A1C,2008,1
455,Remission/Cure,PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,2008,1
456,Adverse Events/Safety,RATE OF ADVERSE EVENTS,2008,4
457,Mortality,TIME TO DEATH,2008,2
459,Functional Status,CHANGE FROM BASELINE IN BCVA,2008,1
460,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BODY WEIGHT,2008,1
461,Functional Status,CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2008,2
463,Adverse Events/Safety,DRUG-RELATED ADVERSE EVENTS,2008,2
464,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2008,1
466,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,2008,3
467,Quality of Life/PRO,SLEEP DISTURBANCE SCORE,2008,2
469,Symptoms/Pain,APNEA-HYPOPNEA INDEX,2008,6
470,Response Rates,EULAR RESPONSE RATE,2008,6
471,Vital Signs/Physical Measures,MEAN HEART RATE,2008,10
472,Response Rates,PERCENTAGE OF PARTICIPANTS WITH RELAPSE,2008,3
473,Pharmacokinetics,TERMINAL PHASE ELIMINATION HALF-LIFE,2008,2
474,Response Rates,TREATMENT SUCCESS,2008,4
