term,prompt,EXPLANATION,GROUP
toxicity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: toxicity

Similar terms for context:
toxicity (1.00), toxicities (0.98), toxicity level (0.94), degree of toxicity (0.93), toxicity rate (0.93)

Standardized groups:
Tolerability (0.44), Concentration (0.37), Adverse Events (AEs) (0.37), Serious Adverse Events (SAEs) (0.36), Pain (0.36)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures harmful effects or toxicity levels.,Toxicity
seroconversion,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: seroconversion

Similar terms for context:
seroconversion (1.00), sero-conversion (0.99), seroconversions (0.98), serological conversion (0.97), seroconverting (0.96)

Standardized groups:
Concentration (0.34), Plasma Concentration (0.32), Clinical Response (0.31), QOL (0.31), Pharmacokinetics (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Indicates development of detectable antibodies.,Seroconversion
vital signs,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: vital signs

Similar terms for context:
vital signs (1.00), vital sign (0.98), vital signs parameters (0.96), vital sign parameters (0.95), vital signs values (0.95)

Standardized groups:
Signs and Symptoms (0.42), Heart Rate (0.39), QOL (0.37), Systolic Blood Pressure (0.35), Forced Expiratory Volume in One Second (FEV1) (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","General physiological measurements (e.g., HR, BP).",Vital Signs
responders,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: responders

Similar terms for context:
responders (1.00), responder (0.94), panss responders (0.94), acq responders (0.94), responder participants (0.93)

Standardized groups:
Participants (0.45), Clinical Response (0.41), Overall/Objective Response Rate (ORR/OR) (0.33), QOL (0.32), Tolerability (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Patients who show a positive treatment response.,Responders
auclast,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: auclast

Similar terms for context:
auclast (1.00), auclastcr (0.97), auclast_d (0.95), auctau (0.94), auclast,ss (0.94)

Standardized groups:
QOL (0.32), Participants (0.28), Pain (0.28), Adverse Events (AEs) (0.27), Improvement (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A pharmacokinetic measure (AUC to last time point).,Pharmacokinetics
qtc,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: qtc

Similar terms for context:
qtc (1.00), qtci (0.97), c-qtc (0.95), qtcn (0.95), qtcb (0.95)

Standardized groups:
QOL (0.47), Time to Progression (TTP) (0.38), Heart Rate (0.31), Pharmacokinetics (0.30), Forced Expiratory Volume in One Second (FEV1) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Corrected QT interval measure on ECG.,ECG measurement
half-life,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: half-life

Similar terms for context:
half-life (1.00), half life (1.00), half lives (0.99), decay half-life (0.92), terminal half life (0.91)

Standardized groups:
QOL (0.36), Time to Progression (TTP) (0.36), Overall Survival (OS) (0.33), Pharmacokinetics (0.31), Progression-free Survival (PFS) (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A key pharmacokinetic parameter.,Pharmacokinetics
remission,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: remission

Similar terms for context:
remission (1.00), remissions (0.98), das remission (0.97), in remission (0.96), mas remission (0.96)

Standardized groups:
Progression-free Survival (PFS) (0.37), QOL (0.35), Improvement (0.35), Clinical Response (0.33), Pain (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",State where disease activity is greatly reduced.,Remission
sensitivity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: sensitivity

Similar terms for context:
sensitivity (1.00), perceived sensitivity (0.96), sensibility (0.93), sensitivity threshold (0.92), sensitivity reactions (0.92)

Standardized groups:
Tolerability (0.43), QOL (0.35), Pain (0.33), Concentration (0.33), Vital Signs (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Measures sensitivity (e.g., to stimuli or tests).",Sensitivity
pharmacokinetic parameter,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pharmacokinetic parameter

Similar terms for context:
pharmacokinetic parameter (1.00), pharmacokinetics parameter (1.00), pharmacokinetic parameters (0.99), pharmacokinetics parameters (0.98), pharmacokinetic (pk) parameter (0.97)

Standardized groups:
Pharmacokinetics (0.58), Plasma Concentration (0.38), Toxicity Measurement (0.37), Time to Progression (TTP) (0.35), Maximum Concentration (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Broadly describes PK measures.,Pharmacokinetics
disease activity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: disease activity

Similar terms for context:
disease activity (1.00), disease activities (0.98), disease activity state (0.95), active disease (0.94), disease activity category (0.94)

Standardized groups:
Remission (0.38), QOL (0.35), Pain (0.34), Signs and Symptoms (0.33), Clinical Response (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Indicates how active the disease is.,Disease Activity
adverse event,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: adverse event

Similar terms for context:
adverse event (1.00), adverse event(s) (0.98), adverse events (0.98), adverse event occurences (0.97), adverse event or adverse reaction (0.96)

Standardized groups:
Adverse Events (AEs) (0.54), Serious Adverse Events (SAEs) (0.50), Event Occurrence (0.44), Pain (0.33), Participants (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Unfavorable outcome or symptom.,Adverse Events (AEs)
change from baseline,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: change from baseline

Similar terms for context:
change from baseline (1.00), changes from baseline (0.97), change from baseline values (0.96), shift from baseline (0.94), mean change from baseline (0.94)

Standardized groups:
Improvement (0.37), QOL (0.30), Remission (0.29), Time to Progression (TTP) (0.28), Tolerability (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures difference from starting point.,NAO
visual acuity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: visual acuity

Similar terms for context:
visual acuity (1.00), visual-acuity (1.00), vision acuity (0.99), visual acuity score (0.94), lens visual acuity (0.94)

Standardized groups:
QOL (0.38), Concentration (0.35), Tolerability (0.34), Improvement (0.32), Vital Signs (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Clarity/sharpness of vision.,Visual Acuity
antibodies,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: antibodies

Similar terms for context:
antibodies (1.00), antibody (0.98), antibodies to antigens (0.95), ha antibodies (0.94), presence of antibodies (0.94)

Standardized groups:
Antibody Titers (0.55), Remission (0.33), QOL (0.31), Pharmacokinetics (0.31), Adverse Events (AEs) (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Presence or measurement of antibodies.,Antibody Titers
satisfaction,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: satisfaction

Similar terms for context:
satisfaction (1.00), feeling of satisfaction (0.97), subject's satisfaction (0.95), subject satisfaction (0.94), degree of satisfaction (0.94)

Standardized groups:
QOL (0.45), Tolerability (0.38), Improvement (0.37), Pain (0.32), Remission (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",How satisfied participants are.,Satisfaction
treatment-emergent adverse events,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: treatment-emergent adverse events

Similar terms for context:
treatment-emergent adverse events (1.00), treatment-emergent adverse event(s) (1.00), treatment emergent adverse events (1.00), treatment-emergent adverse event (0.99), treatment emergent adverse event (0.99)

Standardized groups:
Adverse Events (AEs) (0.52), Serious Adverse Events (SAEs) (0.49), Event Occurrence (0.39), Clinical Response (0.38), Remission (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Adverse events that appear after starting treatment.,Adverse Events (AEs)
disease activity score,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: disease activity score

Similar terms for context:
disease activity score (1.00), disease-activity score (1.00), disease activity scores (0.99), disease activity index score (0.97), index of disease activity score (0.95)

Standardized groups:
QOL (0.37), Overall Survival (OS) (0.33), Vital Signs (0.33), Progression-free Survival (PFS) (0.32), Remission (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A score quantifying disease activity.,Disease Activity
titers,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: titers

Similar terms for context:
titers (1.00), titer (0.98), hai titers (0.94), titers of antibodies (0.93), antibodies titers (0.93)

Standardized groups:
Antibody Titers (0.53), Time to Progression (TTP) (0.36), Concentration (0.34), Plasma Concentration (0.34), Vital Signs (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of the concentration of antibodies.,Antibody Titers
creatinine,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: creatinine

Similar terms for context:
creatinine (1.00), creatinine concentration (0.96), blood creatinine (0.95), creatinine levels (0.95), creatinine kinase (0.95)

Standardized groups:
Pharmacokinetics (0.36), Plasma Concentration (0.35), Concentration (0.35), Toxicity Measurement (0.34), QOL (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures creatinine levels in blood.,Concentration
treatment-emergent adverse events (teaes),"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: treatment-emergent adverse events (teaes)

Similar terms for context:
treatment-emergent adverse events (teaes) (1.00), treatment-emergent adverse events (teaes] (1.00), treatment emergent adverse events (teaes) (1.00), treatment-emergent adverse events (teae's) (1.00), treatment emergent adverse events (teaes (1.00)

Standardized groups:
Adverse Events (AEs) (0.52), Serious Adverse Events (SAEs) (0.48), Event Occurrence (0.38), Clinical Response (0.34), Remission (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Same as above, adverse events after treatment start.",Adverse Events (AEs)
complete response,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: complete response

Similar terms for context:
complete response (1.00), full response (0.98), complete responses (0.98), complete or almost complete response (0.95), complete response (cr) (0.94)

Standardized groups:
Clinical Response (0.42), Overall/Objective Response Rate (ORR/OR) (0.35), QOL (0.33), Remission (0.31), Tolerability (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Full disappearance of disease signs.,Clinical Response
triglycerides,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: triglycerides

Similar terms for context:
triglycerides (1.00), triglyceride (0.99), triglycerides (tg) (0.97), triglyceride (tg) (0.96), tryglycerides (0.96)

Standardized groups:
Glucose (0.36), QOL (0.32), Plasma Concentration (0.31), Pharmacokinetics (0.31), Concentration (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures triglyceride levels.,Concentration
patients,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: patients

Similar terms for context:
patients (1.00), patient (0.94), patients seeking care (0.93), patients treated (0.93), patient participants (0.93)

Standardized groups:
Participants (0.46), QOL (0.38), Remission (0.37), Clinical Response (0.37), Pain (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Refers to people in a study.,NAO
drug concentration,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: drug concentration

Similar terms for context:
drug concentration (1.00), concentration of a drug (0.99), drug concentrations (0.99), total drug concentration (0.93), drug plasma concentration (0.92)

Standardized groups:
Concentration (0.53), Maximum Concentration (0.49), Pharmacokinetics (0.47), Plasma Concentration (0.44), Toxicity Measurement (0.38)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Levels of a drug in the body.,Concentration
pain relief,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pain relief

Similar terms for context:
pain relief (1.00), relief of pain (0.99), relief from pain (0.99), pain palliation (0.96), pain reduction (0.95)

Standardized groups:
Pain (0.60), Remission (0.44), QOL (0.37), Tolerability (0.35), Improvement (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Reduction or alleviation of pain.,Pain
volume of distribution,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: volume of distribution

Similar terms for context:
volume of distribution (1.00), distribution volume (0.99), volume distribution (0.98), volume of distribution (vc) (0.94), volume of distribution (vd) (0.93)

Standardized groups:
Concentration (0.37), Maximum Concentration (0.35), Plasma Concentration (0.32), QOL (0.32), Forced Expiratory Volume in One Second (FEV1) (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A pharmacokinetic distribution measure.,Pharmacokinetics
lymphocytes,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: lymphocytes

Similar terms for context:
lymphocytes (1.00), lymphocyte (0.98), lymphocytosis (0.94), t-lymphocytes (0.93), circulating lymphocytes (0.93)

Standardized groups:
Antibody Titers (0.41), Remission (0.34), Vital Signs (0.31), QOL (0.30), Pharmacokinetics (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Counting or measuring lymphocytes.,Lymphocyte Count
metabolites,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: metabolites

Similar terms for context:
metabolites (1.00), metabolite(s) (0.98), metabolite (0.98), metabolite compound (0.95), its metabolites (0.94)

Standardized groups:
Pharmacokinetics (0.40), Glucose (0.36), Toxicity Measurement (0.34), Concentration (0.33), Vital Signs (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measured levels of metabolic products.,Metabolities
tmax,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: tmax

Similar terms for context:
tmax (1.00), tmax;ss (0.97), cmax (tmax) (0.95), tss_max (0.93), max (0.92)

Standardized groups:
Maximum Concentration (0.43), Time to Progression (TTP) (0.37), QOL (0.32), Tolerability (0.32), Concentration (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Time to reach maximum concentration (PK measure).,Time to Maximum
tewl,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: tewl

Similar terms for context:
tewl (1.00), tez (0.92), t (0.90), twa (0.90), tlf (0.90)

Standardized groups:
QOL (0.34), Time to Progression (TTP) (0.34), Tolerability (0.31), Remission (0.30), Pain (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",TEWL serves as an indicator of the skin’s barrier function.,Dermatological Condition
c-reactive protein,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: c-reactive protein

Similar terms for context:
c-reactive protein (1.00), c-reactive protein (crp) (0.98), c reactive protein (crp) (0.98), c-reactive protein concentration (0.96), c-reactive protein levels (0.96)

Standardized groups:
Antibody Titers (0.36), Plasma Concentration (0.35), Clinical Response (0.35), QOL (0.32), Vital Signs (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures CRP level in blood as a marker of inflammation.,Concentration
bleeds,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: bleeds

Similar terms for context:
bleeds (1.00), bleed (0.97), bleedings (0.97), bleeding (0.96), rebleeds (0.93)

Standardized groups:
Pain (0.36), Remission (0.32), Vital Signs (0.31), Plasma Concentration (0.30), Diastolic Blood Pressure (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Occurrence of bleeding events.,Event Occurrence
lesions,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: lesions

Similar terms for context:
lesions (1.00), lesion(s) (0.98), lesion (0.97), ho lesions (0.95), cua lesions (0.93)

Standardized groups:
Remission (0.42), Pain (0.37), Signs and Symptoms (0.36), Disease Activity (0.35), Adverse Events (AEs) (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Counting or assessing lesions.,Lesions
pulse rate,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pulse rate

Similar terms for context:
pulse rate (1.00), pulse rates (0.99), pulse rate levels (0.96), pulse rate values (0.95), heart rate (0.95)

Standardized groups:
Heart Rate (0.57), Vital Signs (0.48), QTc Interval (0.40), Systolic Blood Pressure (0.40), Diastolic Blood Pressure (0.39)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Measures pulse, similar to heart rate.",Heart Rate
pasi score,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pasi score

Similar terms for context:
pasi score (1.00), pasi scores (0.99), pas scores (0.97), pasdas score (0.97), pasapq score (0.95)

Standardized groups:
QOL (0.35), Progression-free Survival (PFS) (0.34), Pain (0.30), Vital Signs (0.30), Time to Progression (TTP) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Psoriasis severity measurement (Disease activity indicator).,PASI Score
immunogenicity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: immunogenicity

Similar terms for context:
immunogenicity (1.00), immunogenicity status (0.95), humoral immunogenicity (0.94), immunogenicity parameters (0.94), immunogenicity antibodies (0.94)

Standardized groups:
Antibody Titers (0.45), Tolerability (0.36), QOL (0.34), Pharmacokinetics (0.33), Improvement (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Ability to provoke an immune response.,Immunogenicity
health-related quality of life,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: health-related quality of life

Similar terms for context:
health-related quality of life (1.00), health related quality of life (1.00), health-related quality-of-life (1.00), heath-related quality of life (0.99), health quality of life (0.99)

Standardized groups:
QOL (0.60), Vital Signs (0.38), Tolerability (0.35), Overall Survival (OS) (0.35), Disease Activity (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Quality of life specifically related to health conditions.,HRQoL
forced expiratory volume in 1 second (fev1),"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: forced expiratory volume in 1 second (fev1)

Similar terms for context:
forced expiratory volume in 1 second (fev1) (1.00), forced expiratory volume in 1 second (fev-1) (1.00), forced expiratory volume in 1 second (fev₁) (1.00), fev1 (forced expiratory volume in 1 second) (1.00), forced expiratory volume in one second (fev1) (1.00)

Standardized groups:
Forced Expiratory Volume in One Second (FEV1) (0.65), Vital Signs (0.31), QOL (0.28), Time to Progression (TTP) (0.27), Progression-free Survival (PFS) (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Already a standard measure of lung function.,Forced Expiratory Volume in One Second (FEV1)
viral load,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: viral load

Similar terms for context:
viral load (1.00), viral loads (0.99), viral load count (0.97), vl (viral load) (0.97), quantitative viral load (0.94)

Standardized groups:
Antibody Titers (0.36), Plasma Concentration (0.35), Vital Signs (0.35), Maximum Concentration (0.34), QOL (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Amount of virus present in the body.,Viral Load
potassium,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: potassium

Similar terms for context:
potassium (1.00), s-potassium (0.94), potassium concentration (0.94), potassium concentrations (0.93), potassium levels (0.93)

Standardized groups:
Pharmacokinetics (0.35), Concentration (0.33), QOL (0.33), Pain (0.32), Maximum Concentration (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of potassium levels.,Concentration
severity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: severity

Similar terms for context:
severity (1.00), level of severity (0.97), severity scale (0.95), severity grade (0.95), severity rating (0.94)

Standardized groups:
Tolerability (0.40), Serious Adverse Events (SAEs) (0.40), QOL (0.38), Pain (0.38), Concentration (0.36)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",General measure of condition intensity.,Severity
dose,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: dose

Similar terms for context:
dose (1.00), doses (0.98), dosage (0.98), dose amounts (0.96), dosing (0.95)

Standardized groups:
Maximum Concentration (0.39), Concentration (0.38), Pharmacokinetics (0.35), QOL (0.35), Plasma Concentration (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Amount of a drug administered.,Dose
